epoch	recall@20	ndcg@20	diversity	
1	0.0437	0.0355	0.2858	
2	0.0489	0.0398	0.2787	
3	0.0513	0.0416	0.2755	
4	0.0524	0.0425	0.2733	
5	0.0533	0.0434	0.2712	
6	0.0540	0.0442	0.2695	
7	0.0548	0.0448	0.2678	
8	0.0558	0.0455	0.2665	
9	0.0557	0.0458	0.2652	
10	0.0561	0.0460	0.2640	
11	0.0569	0.0466	0.2630	
12	0.0571	0.0468	0.2621	
13	0.0577	0.0474	0.2615	
14	0.0581	0.0477	0.2607	
15	0.0581	0.0477	0.2600	
16	0.0583	0.0478	0.2594	
17	0.0586	0.0481	0.2589	
18	0.0588	0.0482	0.2584	
19	0.0590	0.0485	0.2581	
20	0.0588	0.0485	0.2575	
21	0.0591	0.0487	0.2572	
22	0.0593	0.0488	0.2568	
23	0.0593	0.0489	0.2566	
24	0.0595	0.0490	0.2562	
25	0.0594	0.0490	0.2559	
26	0.0595	0.0490	0.2557	
27	0.0596	0.0492	0.2554	
28	0.0601	0.0495	0.2550	
29	0.0598	0.0493	0.2549	
30	0.0601	0.0495	0.2545	
31	0.0600	0.0495	0.2545	
32	0.0599	0.0494	0.2544	
33	0.0601	0.0495	0.2542	
34	0.0600	0.0495	0.2541	
35	0.0602	0.0495	0.2539	
36	0.0603	0.0497	0.2538	
37	0.0601	0.0496	0.2535	
38	0.0602	0.0497	0.2535	
39	0.0602	0.0496	0.2534	
40	0.0606	0.0499	0.2531	
41	0.0606	0.0499	0.2531	
42	0.0604	0.0498	0.2530	
43	0.0608	0.0500	0.2528	
44	0.0605	0.0499	0.2526	
45	0.0606	0.0499	0.2525	
46	0.0605	0.0499	0.2524	
47	0.0606	0.0499	0.2524	
48	0.0608	0.0501	0.2523	
49	0.0608	0.0501	0.2522	
50	0.0608	0.0501	0.2520	
51	0.0608	0.0501	0.2519	
52	0.0608	0.0501	0.2518	
53	0.0608	0.0501	0.2517	
54	0.0607	0.0500	0.2517	
55	0.0606	0.0500	0.2516	
56	0.0607	0.0499	0.2516	
57	0.0605	0.0499	0.2514	
58	0.0608	0.0500	0.2514	
59	0.0609	0.0502	0.2513	
60	0.0607	0.0500	0.2512	
61	0.0610	0.0502	0.2510	
62	0.0608	0.0501	0.2511	
63	0.0611	0.0503	0.2509	
64	0.0611	0.0502	0.2509	
65	0.0609	0.0503	0.2508	
66	0.0610	0.0501	0.2508	
67	0.0610	0.0502	0.2508	
68	0.0611	0.0503	0.2506	
69	0.0611	0.0502	0.2506	
70	0.0611	0.0503	0.2505	
71	0.0611	0.0503	0.2505	
72	0.0614	0.0505	0.2504	
73	0.0612	0.0503	0.2503	
74	0.0611	0.0503	0.2503	
75	0.0608	0.0501	0.2502	
76	0.0612	0.0503	0.2501	
77	0.0610	0.0502	0.2501	
78	0.0609	0.0502	0.2500	
79	0.0611	0.0503	0.2500	
80	0.0613	0.0503	0.2499	
81	0.0612	0.0503	0.2499	
82	0.0614	0.0503	0.2499	
83	0.0616	0.0505	0.2498	
84	0.0615	0.0505	0.2498	
85	0.0613	0.0504	0.2497	
86	0.0613	0.0504	0.2497	
87	0.0614	0.0504	0.2496	
88	0.0613	0.0504	0.2496	
89	0.0612	0.0504	0.2494	
90	0.0613	0.0504	0.2496	
91	0.0613	0.0504	0.2494	
92	0.0614	0.0505	0.2494	
93	0.0613	0.0505	0.2494	
94	0.0613	0.0505	0.2493	
95	0.0612	0.0504	0.2492	
96	0.0613	0.0505	0.2492	
97	0.0612	0.0504	0.2492	
98	0.0612	0.0505	0.2491	
99	0.0614	0.0504	0.2491	
100	0.0614	0.0505	0.2491	
