epoch	recall@20	ndcg@20	diversity	
0	0.0608	0.0497	0.2080	
5	0.0665	0.0549	0.2064	
10	0.0673	0.0559	0.2057	
15	0.0679	0.0564	0.2055	
20	0.0682	0.0567	0.2054	
25	0.0684	0.0568	0.2054	
30	0.0685	0.0570	0.2054	
35	0.0687	0.0571	0.2053	
40	0.0688	0.0571	0.2053	
45	0.0687	0.0571	0.2053	
50	0.0688	0.0572	0.2053	
55	0.0689	0.0572	0.2053	
60	0.0688	0.0572	0.2053	
65	0.0689	0.0572	0.2053	
70	0.0689	0.0572	0.2053	
75	0.0689	0.0573	0.2053	
80	0.0690	0.0574	0.2053	
85	0.0689	0.0573	0.2052	
90	0.0690	0.0573	0.2052	
95	0.0691	0.0573	0.2052	
100	0.0691	0.0574	0.2052	
105	0.0690	0.0573	0.2051	
110	0.0692	0.0575	0.2051	
115	0.0692	0.0575	0.2051	
120	0.0692	0.0575	0.2051	
125	0.0692	0.0574	0.2051	
130	0.0692	0.0575	0.2050	
135	0.0692	0.0575	0.2051	
140	0.0693	0.0575	0.2051	
145	0.0694	0.0576	0.2051	
150	0.0694	0.0575	0.2050	
155	0.0693	0.0575	0.2051	
160	0.0694	0.0576	0.2050	
165	0.0694	0.0576	0.2050	
170	0.0693	0.0575	0.2049	
175	0.0693	0.0575	0.2049	
180	0.0693	0.0575	0.2050	
185	0.0695	0.0576	0.2049	
190	0.0694	0.0576	0.2049	
195	0.0695	0.0576	0.2049	
