epoch	recall@20	ndcg@20	diversity	
5	0.0350	0.0284	0.1624	
10	0.0385	0.0310	0.1641	
15	0.0408	0.0328	0.1663	
20	0.0416	0.0334	0.1673	
25	0.0431	0.0347	0.1682	
30	0.0441	0.0357	0.1695	
35	0.0451	0.0366	0.1707	
40	0.0457	0.0371	0.1716	
45	0.0467	0.0378	0.1726	
50	0.0476	0.0386	0.1735	
55	0.0487	0.0394	0.1742	
60	0.0496	0.0402	0.1751	
65	0.0505	0.0409	0.1759	
70	0.0515	0.0417	0.1766	
75	0.0521	0.0422	0.1774	
80	0.0528	0.0426	0.1780	
85	0.0535	0.0432	0.1786	
90	0.0539	0.0436	0.1792	
95	0.0542	0.0439	0.1796	
100	0.0548	0.0445	0.1804	
105	0.0553	0.0449	0.1809	
110	0.0553	0.0450	0.1813	
115	0.0561	0.0454	0.1819	
120	0.0563	0.0457	0.1823	
125	0.0567	0.0461	0.1828	
130	0.0571	0.0464	0.1832	
135	0.0574	0.0468	0.1835	
140	0.0579	0.0470	0.1840	
145	0.0576	0.0469	0.1842	
150	0.0579	0.0471	0.1847	
155	0.0583	0.0475	0.1851	
160	0.0581	0.0475	0.1853	
165	0.0587	0.0478	0.1857	
170	0.0589	0.0479	0.1859	
175	0.0593	0.0482	0.1862	
180	0.0595	0.0484	0.1868	
185	0.0595	0.0485	0.1870	
190	0.0594	0.0485	0.1875	
195	0.0594	0.0486	0.1877	
200	0.0597	0.0488	0.1879	
205	0.0599	0.0491	0.1882	
210	0.0599	0.0491	0.1887	
215	0.0602	0.0492	0.1889	
220	0.0602	0.0492	0.1890	
225	0.0605	0.0494	0.1892	
230	0.0607	0.0495	0.1896	
235	0.0610	0.0497	0.1899	
240	0.0608	0.0497	0.1901	
245	0.0610	0.0498	0.1902	
250	0.0610	0.0498	0.1906	
255	0.0609	0.0499	0.1907	
260	0.0615	0.0500	0.1908	
265	0.0613	0.0500	0.1908	
270	0.0614	0.0503	0.1914	
275	0.0613	0.0502	0.1913	
280	0.0614	0.0502	0.1915	
285	0.0618	0.0507	0.1921	
290	0.0618	0.0506	0.1921	
295	0.0623	0.0508	0.1920	
300	0.0619	0.0506	0.1924	
305	0.0622	0.0507	0.1924	
310	0.0623	0.0508	0.1927	
315	0.0624	0.0509	0.1928	
320	0.0623	0.0510	0.1929	
325	0.0624	0.0510	0.1930	
330	0.0625	0.0511	0.1934	
335	0.0625	0.0512	0.1934	
340	0.0626	0.0512	0.1935	
345	0.0628	0.0514	0.1935	
350	0.0625	0.0514	0.1937	
355	0.0627	0.0515	0.1938	
360	0.0630	0.0516	0.1940	
365	0.0629	0.0518	0.1939	
370	0.0629	0.0518	0.1940	
375	0.0629	0.0517	0.1941	
380	0.0629	0.0518	0.1940	
385	0.0632	0.0520	0.1943	
390	0.0636	0.0520	0.1944	
395	0.0635	0.0519	0.1946	
400	0.0636	0.0521	0.1943	
405	0.0638	0.0521	0.1946	
410	0.0637	0.0521	0.1946	
415	0.0634	0.0520	0.1948	
