epoch	recall@20	ndcg@20	diversity	
0	0.0437	0.0355	0.2847	
5	0.0547	0.0445	0.2679	
10	0.0572	0.0469	0.2619	
15	0.0589	0.0483	0.2585	
20	0.0595	0.0488	0.2565	
25	0.0596	0.0490	0.2551	
30	0.0602	0.0497	0.2542	
35	0.0605	0.0498	0.2534	
40	0.0606	0.0500	0.2527	
45	0.0607	0.0502	0.2522	
50	0.0607	0.0502	0.2517	
55	0.0608	0.0503	0.2513	
60	0.0608	0.0503	0.2509	
65	0.0610	0.0504	0.2506	
70	0.0610	0.0504	0.2502	
75	0.0611	0.0505	0.2500	
80	0.0611	0.0505	0.2498	
85	0.0611	0.0506	0.2496	
90	0.0611	0.0506	0.2492	
95	0.0610	0.0504	0.2491	
100	0.0613	0.0507	0.2488	
105	0.0615	0.0508	0.2487	
110	0.0616	0.0508	0.2485	
115	0.0619	0.0510	0.2483	
120	0.0618	0.0509	0.2482	
125	0.0618	0.0510	0.2480	
130	0.0618	0.0509	0.2479	
135	0.0617	0.0509	0.2477	
140	0.0619	0.0510	0.2476	
145	0.0619	0.0510	0.2475	
150	0.0619	0.0510	0.2474	
155	0.0619	0.0509	0.2472	
160	0.0619	0.0510	0.2471	
